City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Ulundi,ZA,-28.3352,31.4162,65.59,93,62,2.71,light rain
262,Fatezh,RU,52.0891,35.8632,22.98,91,91,10.8,overcast clouds
263,Ziro,IN,27.6333,93.8333,53.8,52,11,2.26,few clouds
264,Jalu,LY,29.0331,21.5482,68.52,18,0,10.49,clear sky
265,Amazar,RU,53.858,120.875,-13.63,96,13,3.94,few clouds
266,Kamina,CD,-8.7386,24.9906,63.48,98,100,7.45,light rain
267,Faanui,PF,-16.4833,-151.75,80.1,65,0,2.51,clear sky
268,Ipameri,BR,-17.7219,-48.1597,79.93,68,100,7.58,overcast clouds
269,Flin Flon,CA,54.7682,-101.865,24.64,93,100,5.75,overcast clouds
270,Devils Lake,US,48.1128,-98.8651,33.94,83,0,14.97,clear sky
271,Clyde River,CA,70.4692,-68.5914,-18.17,69,75,10.36,snow
272,Aksu,CN,41.1231,80.2644,55.96,35,51,5.77,broken clouds
273,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,71,92,19.77,overcast clouds
274,Mbini,GQ,1.574,9.6134,83.95,73,100,8.08,light rain
275,Kilindoni,TZ,-7.9139,39.6668,82.65,76,100,14.36,overcast clouds
276,Portland,US,45.5234,-122.6762,44.04,91,100,4.61,overcast clouds
277,Warrington,GB,53.3925,-2.5802,56.8,70,40,21.85,scattered clouds
278,Xining,CN,36.6167,101.7667,45.93,50,99,1.79,overcast clouds
279,Taitung,TW,22.7583,121.1444,75.81,90,78,4.7,broken clouds
280,Skjervoy,NO,70.0311,20.9714,41.0,79,100,7.14,overcast clouds
281,Kota Kinabalu,MY,5.9749,116.0724,80.58,89,20,0.0,few clouds
282,Lasa,IT,46.6166,10.7002,53.02,88,100,2.24,overcast clouds
283,Kalabo,ZM,-14.97,22.6814,78.55,58,100,3.22,overcast clouds
284,Ust-Tsilma,RU,65.441,52.1498,19.13,99,33,3.67,scattered clouds
285,Maku,IR,39.2911,44.4521,29.59,61,100,2.71,overcast clouds
286,Cabo San Lucas,MX,22.8909,-109.9124,75.51,31,0,10.36,clear sky
287,Praya,CV,14.9215,-23.5087,75.74,57,20,18.41,few clouds
288,Grindavik,IS,63.8424,-22.4338,30.67,59,75,37.98,light snow
289,Santa Cruz,BO,-17.8,-63.1667,87.85,42,37,14.97,scattered clouds
290,Chara,RU,56.9064,118.2631,-9.51,81,100,0.76,overcast clouds
291,High Level,CA,58.5169,-117.136,17.71,93,75,3.44,broken clouds
292,Ratanpur,IN,22.3,82.1667,82.26,20,19,7.61,few clouds
293,Granville,AU,-33.8333,151.0167,72.77,85,100,3.02,light rain
294,Leshukonskoye,RU,64.8989,45.7622,25.21,98,20,4.65,few clouds
295,Olafsvik,IS,64.8945,-23.7142,29.14,60,96,43.17,light snow
296,Paso De Carrasco,UY,-34.8603,-56.0522,81.05,65,75,8.05,broken clouds
297,Torbay,CA,47.6666,-52.7314,34.88,73,75,16.11,light shower snow
298,Jardim,BR,-21.4803,-56.1381,92.91,39,27,8.5,scattered clouds
299,Goroka,PG,-6.0834,145.3873,58.21,96,37,1.83,scattered clouds
300,Wajid,SO,3.8093,43.2471,92.3,17,7,11.43,clear sky
301,Karasjok,NO,69.4719,25.5112,28.78,92,89,7.78,overcast clouds
302,Castro,BR,-24.7911,-50.0119,79.56,62,23,9.33,few clouds
303,Guerrero Negro,MX,27.9769,-114.0611,63.01,73,2,6.44,clear sky
304,Nouadhibou,MR,20.931,-17.0347,73.38,56,0,17.27,clear sky
305,Sri Aman,MY,1.2376,111.4621,80.65,89,100,2.3,overcast clouds
306,Okha,RU,53.5739,142.9478,17.33,94,100,5.39,overcast clouds
307,Cabra,ES,37.4725,-4.4421,60.19,64,98,8.01,overcast clouds
308,Lompoc,US,34.6391,-120.4579,66.78,87,100,6.91,mist
309,Sungaipenuh,ID,-2.0833,101.3833,65.86,98,100,1.25,light rain
310,Mansa,IN,29.9833,75.3833,79.93,24,5,8.81,clear sky
311,Kuusankoski,FI,60.907,26.6244,43.32,49,0,8.05,clear sky
312,Phan Thiet,VN,10.9333,108.1,75.97,87,23,6.02,few clouds
313,Pangody,RU,65.85,74.4859,9.5,94,100,7.52,overcast clouds
314,Ramhormoz,IR,31.28,49.6035,56.73,24,0,10.2,clear sky
315,Pisco,PE,-13.7,-76.2167,74.01,78,0,6.91,clear sky
316,Karratha,AU,-20.7377,116.8463,90.95,42,17,9.84,light rain
317,Matara,LK,5.9485,80.5353,78.6,89,98,8.28,moderate rain
318,Jackson,US,42.4165,-122.8345,42.44,81,75,1.01,broken clouds
319,Sangar,RU,63.9242,127.4739,-20.83,100,74,3.02,broken clouds
320,Cumra,TR,37.5732,32.7745,39.34,91,77,2.26,light rain
321,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,75,20,14.97,few clouds
322,Havoysund,NO,70.9963,24.6622,37.63,71,99,10.36,overcast clouds
